mean_r,mean_g,mean_b
99.29808044433594,130.79006958007812,208.5144195556641
92.61378479003906,93.58654022216795,190.3621826171875
50.167694091796875,56.06769180297851,83.28153991699219
69.0272445678711,80.74198913574219,166.25961303710938
123.4022445678711,104.49038696289062,154.6746826171875
55.37230682373047,44.23692321777344,74.42153930664062
139.6404266357422,95.6450653076172,93.68518829345705
52.90277862548828,62.85185241699219,170.2484588623047
131.30667114257812,76.29926300048828,121.72296142578124
50.074073791503906,38.99845504760742,99.8163604736328
124.16512298583984,133.081787109375,148.5154266357422
150.238525390625,122.64592742919922,122.62518310546876
51.51442337036133,85.84615325927734,184.65866088867188
126.34935760498048,76.49198913574219,159.0544891357422
160.27691650390625,144.5,144.84461975097656
106.71955108642578,47.39743423461914,65.40865325927734
55.855770111083984,86.76763153076172,115.14263153076172
31.739999771118164,37.06922912597656,119.8015365600586
147.4382781982422,146.2299346923828,216.9598693847656
121.28549194335938,121.4783935546875,196.9830322265625
96.0088882446289,96.38814544677734,164.5111083984375
63.09722137451172,63.160491943359375,116.93518829345705
37.935184478759766,36.73147964477539,67.74073791503906
16.949628829956055,15.312592506408691,30.0755558013916
